answer	dog_name
"[1, 0, 0, 0, 1]"	pinscher
"[1, 0, 0, 1, 0]"	pitbull
"[1, 0, 0, 1, 1]"	pointer
"[1, 0, 0, 2, 0]"	pomeranian
"[1, 0, 0, 2, 1]"	poodle
"[1, 0, 0, 3, 0]"	pug
"[1, 0, 0, 3, 1]"	puggle
"[1, 0, 1, 0, 0]"	pyrenees
"[1, 0, 1, 0, 1]"	redbone
"[1, 0, 1, 1, 0]"	retriever
"[1, 0, 1, 1, 1]"	ridgeback
"[1, 0, 1, 2, 0]"	rottweiler
"[1, 0, 1, 2, 1]"	saluki
"[1, 0, 1, 3, 0]"	samoyed
"[1, 0, 1, 3, 1]"	schipperke
"[1, 0, 2, 0, 0]"	schnauzer
"[1, 0, 2, 0, 1]"	setter
"[1, 0, 2, 1, 0]"	sheepdog
"[1, 0, 2, 1, 1]"	shiba
"[1, 0, 2, 2, 0]"	shihtzu
"[1, 0, 2, 2, 1]"	spaniel
"[1, 0, 2, 3, 0]"	springer
"[1, 0, 2, 3, 1]"	stbernard
"[1, 0, 3, 0, 0]"	terrier
"[1, 0, 3, 0, 1]"	vizsla
"[1, 0, 3, 1, 0]"	waterdog
"[1, 0, 3, 1, 1]"	weimaraner
"[1, 0, 3, 2, 0]"	whippet
"[1, 0, 3, 2, 1]"	wolfhound
"[1, 0, 3, 3, 0]"	affenpinscher
"[1, 0, 3, 3, 1]"	african
"[1, 1, 0, 0, 0]"	airedale
"[1, 1, 0, 0, 1]"	akita
"[1, 1, 0, 1, 0]"	appenzeller
"[1, 1, 0, 1, 1]"	australian
"[1, 1, 0, 2, 0]"	basenji
"[1, 1, 0, 2, 1]"	beagle
"[1, 1, 0, 3, 0]"	bluetick
"[1, 1, 0, 3, 1]"	borzoi
"[1, 1, 1, 0, 0]"	bouvier
"[1, 1, 1, 0, 1]"	boxer
"[1, 1, 1, 1, 0]"	brabancon
"[1, 1, 1, 1, 1]"	briard
"[1, 1, 1, 2, 0]"	buhund
"[1, 1, 1, 2, 1]"	bulldog
"[1, 1, 1, 3, 0]"	bullterrier
"[1, 1, 1, 3, 1]"	cairn
"[1, 1, 2, 0, 0]"	cattledog
"[1, 1, 2, 0, 1]"	chihuahua
"[1, 1, 2, 1, 0]"	chow
"[1, 1, 2, 1, 1]"	clumber
"[1, 1, 2, 2, 0]"	cockapoo
"[1, 1, 2, 2, 1]"	collie
"[1, 1, 2, 3, 0]"	coonhound
"[1, 1, 2, 3, 1]"	corgi
"[1, 1, 3, 0, 0]"	cotondetulear
"[1, 1, 3, 0, 1]"	dachshund
"[1, 1, 3, 1, 0]"	dalmatian
"[1, 1, 3, 1, 1]"	dane
"[1, 1, 3, 2, 0]"	deerhound
"[1, 1, 3, 2, 1]"	dhole
"[1, 1, 3, 3, 0]"	dingo
"[1, 1, 3, 3, 1]"	doberman
"[1, 2, 0, 0, 0]"	elkhound
"[1, 2, 0, 0, 1]"	entlebucher
"[1, 2, 0, 1, 0]"	eskimo
"[1, 2, 0, 1, 1]"	finnish
"[1, 2, 0, 2, 0]"	frise
"[1, 2, 0, 2, 1]"	germanshepherd
"[1, 2, 0, 3, 0]"	greyhound
"[1, 2, 0, 3, 1]"	groenendael
"[1, 2, 1, 0, 0]"	havanese
"[1, 2, 1, 0, 1]"	hound
"[1, 2, 1, 1, 0]"	husky
"[1, 2, 1, 1, 1]"	keeshond
"[1, 2, 1, 2, 0]"	kelpie
"[1, 2, 1, 2, 1]"	komondor
"[1, 2, 1, 3, 0]"	kuvasz
"[1, 2, 1, 3, 1]"	labradoodle
"[1, 2, 2, 0, 0]"	labrador
"[1, 2, 2, 0, 1]"	leonberg
"[1, 2, 2, 1, 0]"	lhasa
"[1, 2, 2, 1, 1]"	malamute
"[1, 2, 2, 2, 0]"	malinois
"[1, 2, 2, 2, 1]"	maltese
"[1, 2, 2, 3, 0]"	mastiff
"[1, 2, 2, 3, 1]"	mexicanhairless
"[1, 2, 3, 0, 0]"	mix
"[1, 2, 3, 0, 1]"	mountain
"[1, 2, 3, 1, 0]"	newfoundland
"[1, 2, 3, 1, 1]"	otterhound
"[1, 2, 3, 2, 0]"	ovcharka
"[1, 2, 3, 2, 1]"	papillon
"[1, 2, 3, 3, 0]"	pekinese
"[1, 2, 3, 3, 1]"	pembroke
"[1, 3, 0, 0, 0]"	pinscher
"[1, 3, 0, 0, 1]"	pitbull
"[1, 3, 0, 1, 0]"	pointer
"[1, 3, 0, 1, 1]"	pomeranian
"[1, 3, 0, 2, 0]"	poodle
"[1, 3, 0, 2, 1]"	pug
"[1, 3, 0, 3, 0]"	puggle
"[1, 3, 0, 3, 1]"	pyrenees
"[1, 3, 1, 0, 0]"	redbone
"[1, 3, 1, 0, 1]"	retriever
"[1, 3, 1, 1, 0]"	ridgeback
"[1, 3, 1, 1, 1]"	rottweiler
"[1, 3, 1, 2, 0]"	saluki
"[1, 3, 1, 2, 1]"	samoyed
"[1, 3, 1, 3, 0]"	schipperke
"[1, 3, 1, 3, 1]"	schnauzer
"[1, 3, 2, 0, 0]"	setter
"[1, 3, 2, 0, 1]"	sheepdog
"[1, 3, 2, 1, 0]"	shiba
"[1, 3, 2, 1, 1]"	shihtzu
"[1, 3, 2, 2, 0]"	spaniel
"[1, 3, 2, 2, 1]"	springer
"[1, 3, 2, 3, 0]"	stbernard
"[1, 3, 2, 3, 1]"	terrier
"[1, 3, 3, 0, 0]"	vizsla
"[1, 3, 3, 0, 1]"	waterdog
"[1, 3, 3, 1, 0]"	weimaraner
"[1, 3, 3, 1, 1]"	whippet
"[1, 3, 3, 2, 0]"	wolfhound
"[1, 3, 3, 2, 1]"	affenpinscher
"[1, 3, 3, 3, 0]"	african
"[1, 3, 3, 3, 1]"	airedale
"[1, 4, 0, 0, 0]"	akita
"[1, 4, 0, 0, 1]"	appenzeller
"[1, 4, 0, 1, 0]"	australian
"[1, 4, 0, 1, 1]"	basenji
"[1, 4, 0, 2, 0]"	beagle
"[1, 4, 0, 2, 1]"	bluetick
"[1, 4, 0, 3, 0]"	borzoi
"[1, 4, 0, 3, 1]"	bouvier
"[1, 4, 1, 0, 0]"	boxer
"[1, 4, 1, 0, 1]"	brabancon
"[1, 4, 1, 1, 0]"	briard
"[1, 4, 1, 1, 1]"	buhund
"[1, 4, 1, 2, 0]"	bulldog
"[1, 4, 1, 2, 1]"	bullterrier
"[1, 4, 1, 3, 0]"	cairn
"[1, 4, 1, 3, 1]"	cattledog
"[1, 4, 2, 0, 0]"	chihuahua
"[1, 4, 2, 0, 1]"	chow
"[1, 4, 2, 1, 0]"	clumber
"[1, 4, 2, 1, 1]"	cockapoo
"[1, 4, 2, 2, 0]"	collie
"[1, 4, 2, 2, 1]"	coonhound
"[1, 4, 2, 3, 0]"	corgi
"[1, 4, 2, 3, 1]"	cotondetulear
"[1, 4, 3, 0, 0]"	dachshund
"[1, 4, 3, 0, 1]"	dalmatian
"[1, 4, 3, 1, 0]"	dane
"[1, 4, 3, 1, 1]"	deerhound
"[1, 4, 3, 2, 0]"	dhole
"[1, 4, 3, 2, 1]"	dingo
"[1, 4, 3, 3, 0]"	doberman
"[1, 4, 3, 3, 1]"	elkhound
